MATCH,MATCH2,PLAYER,TEAM,NAME,POS,PC ,PA ,PC/PA,PR,MIN,GS,SG,S,FC,FS,DC,D_IN_POSS,D_NOT_IN_POSS,T_OPP_HALF,T_ATT_3RD,T_PEN_AREA,SPRINT,MAX_SPEED,A_L,A_M,A_H,Goals_scored,Attempts_on_off_target,Assists,Offsides,Saves,Yellow_cards,Red_card,Fouls_committed,Delivery_solo_runs_attacking3rd,Delivery_solo_runs_penalty_area,Tackles_gaining_the_ball,Tackles_not_gaining_the_ball,Tackles_suffered_losing_the_ball,Tackles_suffered_not_losing_the_ball,Clearances_Completed,Clearances_Attempted,Total_time_played_mins,Low_activity_time_spent,Medium_activity_time_spent,High_activity_time_spent,Distance_covered_m,Low_ADC_m,Medium_ADC_m,High_ADC_m,Top_Speed,Sprints
47,47,15,ESP,SERGIO RAMOS ,D,53,65,82,40,90,0,0,0,2,4,9824,4173,3382,49,14,2,97,20.85,83,8,9,0,0,0,0,0,0,0,2,4,1,0,0,1,0,0,0,"94'58""",0.83,0.08,0.09,9824,5920,1469,2435,20.85,97
47,47,16,ESP,Sergio BUSQUETS ,M,67,71,94,64,90,0,0,0,1,5,10279,4175,3858,42,7,,79,22.06,81,9,10,0,0,0,0,0,0,0,1,4,0,1,2,0,0,0,1,"94'58""",0.81,0.09,0.1,10279,5969,1786,2523,22.06,79
47,47,10,ESP,Cesc FABREGAS ,M,52,58,90,55,35,0,0,0,0,0,4936,2882,1444,72,25,1,37,20.85,76,12,12,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,"38'00""",0.76,0.12,0.12,4936,2823,973,1140,20.85,37
47,47,20,ESP,Javier MARTINEZ ,M,17,20,85,19,17,0,0,0,1,0,2395,1421,673,64,16,,19,20.13,78,11,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"19'16""",0.78,0.11,0.11,2395,1364,439,593,20.13,19
46,46,1,PRK,RI Myong Guk,GK ,16,30,53,4,90,0,0,0,0,0,3429,1218,1361,,,,5,11.84,98,1,1,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,"95'14""",0.98,0.01,0.01,3429,2971,192,266,11.84,5
46,46,2,PRK,CHA Jong Hyok,D ,18,36,50,20,90,0,0,0,0,0,9676,2848,5059,9,2,,83,22.53,84,8,8,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,"95'14""",0.84,0.08,0.08,9676,6004,1431,2241,22.53,83
46,46,3,PRK,RI Jun Il,D ,14,26,54,8,90,0,0,0,0,1,9087,2712,4906,3,,,65,25.87,87,7,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,"95'14""",0.87,0.07,0.06,9087,5972,1259,1856,25.87,65
46,46,4,PRK,PAK Nam Chol,M ,28,50,56,30,90,0,0,0,4,1,10995,3579,5749,27,5,,143,23.2,79,9,12,0,0,0,0,0,0,0,4,6,1,0,1,0,0,0,0,"95'14""",0.79,0.09,0.12,10995,5913,1831,3251,23.2,143
46,46,5,PRK,RI Kwang Chon,D ,18,37,49,11,90,0,0,0,1,3,9364,2651,5138,3,,,69,21.58,85,7,8,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,"95'14""",0.85,0.07,0.08,9364,5768,1401,2195,21.58,69
46,46,8,PRK,JI Yun Nam,D ,20,33,61,17,90,0,0,0,0,1,9804,2710,5476,8,,,97,23.2,83,8,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"95'14""",0.83,0.08,0.09,9804,5864,1466,2474,23.2,97
46,46,9,PRK,JONG Tae Se,F ,17,38,45,31,90,0,3,5,3,1,9078,3497,3911,70,23,2,81,22.6,86,6,8,0,4,0,1,0,0,0,3,2,1,0,0,0,0,0,0,"95'14""",0.86,0.06,0.08,9078,5945,1119,2014,22.6,81
46,46,10,PRK,HONG Yong Jo,F ,33,52,63,40,90,0,0,2,4,4,10754,3593,5241,42,12,1,108,22.68,78,9,13,0,2,0,0,0,0,0,4,2,0,1,0,0,0,0,0,"95'14""",0.78,0.09,0.13,10754,5683,1726,3344,22.68,108
46,46,11,PRK,MUN In Guk,M ,23,36,64,31,67,0,0,0,0,0,8398,2662,4307,25,7,,101,23.84,77,11,12,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"66'46""",0.77,0.11,0.12,8398,4223,1639,2536,23.84,101
46,46,13,PRK,PAK Chol Jin,D ,17,23,74,18,90,0,0,0,1,0,9142,2669,4937,4,1,,75,20.81,86,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"95'14""",0.86,0.07,0.07,9142,5847,1323,1972,20.81,75
46,46,17,PRK,AN Yong Hak,M ,26,38,68,24,90,0,0,0,0,4,12409,3713,6823,18,4,,118,23.2,70,14,16,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,"95'14""",0.7,0.14,0.16,12409,5710,2587,4112,23.2,118
46,46,12,PRK,CHOE Kum Chol,F ,12,15,80,8,23,0,0,0,0,1,2761,1030,1154,51,17,2,18,19.45,82,9,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"28'28""",0.82,0.09,0.09,2761,1577,476,708,19.45,18
46,46,1,CIV,Boubacar BARRY,GK ,14,20,70,3,90,0,0,0,0,0,3197,1328,1072,,,,10,17.44,98,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"95'14""",0.98,0.01,0.01,3197,2744,186,266,17.44,10
46,46,3,CIV,Arthur BOKA,D ,41,60,68,48,90,0,1,2,1,4,9763,4643,3447,42,13,,114,21.36,84,8,8,0,2,2,0,0,0,0,1,12,6,0,0,0,0,0,0,"95'14""",0.84,0.08,0.08,9763,5883,1343,2537,21.36,114
46,46,4,CIV,Kolo TOURE,D ,40,47,85,31,90,0,1,1,0,1,9493,4178,3456,24,6,3,65,24.46,84,8,8,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,"95'14""",0.84,0.08,0.08,9493,5905,1465,2122,24.46,65
46,46,5,CIV,Didier ZOKORA,M ,35,45,78,29,90,0,0,0,3,1,8421,3610,3194,12,,,66,24.59,86,6,8,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,"95'14""",0.86,0.06,0.08,8421,5293,1212,1917,24.59,66
46,46,9,CIV,Ismael TIOTE,M ,59,74,80,49,90,0,0,0,3,0,10633,5021,3959,49,6,,82,21.67,81,10,9,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,"95'14""",0.81,0.1,0.09,10633,6217,1745,2671,21.67,82
46,46,10,CIV,GERVINHO,F ,19,29,66,29,64,0,2,3,1,0,7479,4203,2131,85,46,11,88,22.11,79,10,11,0,3,0,1,0,0,0,1,1,1,0,0,0,0,0,0,"64'09""",0.79,0.1,0.11,7479,4143,1261,2075,22.11,88
46,46,11,CIV,Didier DROGBA,F ,16,32,50,28,90,0,2,7,1,1,9556,4766,2879,93,65,20,57,21.67,87,7,6,0,7,0,1,0,0,0,1,0,4,0,1,0,0,0,0,"95'14""",0.87,0.07,0.06,9556,6479,1295,1782,21.67,57
